# x,y,z,label
269.7954,211.5508,10.0000,0.0000
70.5256,231.8685,32.5144,1.0000
173.8991,205.0000,27.6740,0.0000
115.0055,274.9253,10.0000,0.0000
215.3548,278.6269,10.0000,0.0000
254.4469,105.0000,14.2348,0.0000
103.9136,89.8848,10.0000,0.0000
41.9262,43.9223,13.0000,0.0000
126.7834,47.2420,20.0000,0.0000
20.6931,251.5109,16.0493,0.0000
211.2213,208.0195,16.9805,0.0000
153.4494,6.3070,10.0000,0.0000
70.9846,250.5423,31.3481,0.0000
250.0000,148.6196,48.5776,0.0000
260.0070,34.1071,10.0000,0.0000
252.6222,210.4117,60.0000,0.0000
21.7864,280.0000,2.2374,0.0000
201.2418,215.0000,23.1677,0.0000
79.6007,233.2216,14.8191,0.0000
132.6732,105.0000,18.2074,0.0000
271.6796,97.9537,10.0000,0.0000
226.6236,136.1882,10.0000,0.0000
216.8706,52.8944,20.0000,0.0000
228.0308,182.6918,10.0000,0.0000
241.5990,72.8558,12.8558,0.0000
177.7791,279.0089,10.0000,0.0000
105.7880,225.2721,10.0000,0.0000
20.3183,268.9958,13.8179,0.0000
21.1668,253.6628,17.8879,0.0000
245.4271,280.0000,4.1987,0.0000
280.0000,115.4784,0.1984,0.0000
153.7989,147.3261,10.0000,0.0000
8.2256,7.7005,10.0000,0.0000
77.9931,226.7061,20.7035,0.0000
280.0000,260.8793,7.9996,0.0000
178.6142,106.5889,10.0000,0.0000
20.4229,214.9693,55.5461,0.0000
241.0006,243.8250,10.0000,0.0000
198.0110,26.1785,10.0000,0.0000
259.9990,140.0000,54.1596,0.0000
79.8379,212.8948,57.4853,0.0000
250.0000,221.4042,46.4471,0.0000
222.3840,182.4746,10.0000,0.0000
191.4947,205.0000,25.5460,0.0000
250.0000,177.3713,44.8237,0.0000
271.5372,6.3319,10.0000,0.0000
134.3389,226.9929,10.0000,0.0000
167.3660,215.0000,53.5610,0.0000
255.0754,209.1782,60.0000,0.0000
174.0762,52.1033,20.0000,0.0000
40.3674,181.6847,59.1774,0.0000
260.0000,246.6822,47.9125,0.0000
81.8645,98.2365,10.0000,0.0000
207.2876,110.6601,10.0000,0.0000
73.6944,191.6300,32.5868,0.0000
250.6414,140.0000,29.1419,0.0000
195.0848,70.3839,10.3839,1.0000
280.0000,82.7344,8.3445,0.0000
173.7345,215.0000,36.8457,0.0000
46.0469,119.2238,13.0000,0.0000
97.0431,25.5797,10.0000,0.0000
262.9208,179.5512,10.0000,0.0000
266.8634,265.9731,10.0000,0.0000
1.0447,54.3502,10.0000,0.0000
177.8880,147.5394,10.0000,0.0000
273.9250,100.0523,10.0000,0.0000
119.2236,221.2311,10.0000,0.0000
245.8711,250.4314,10.0000,0.0000
222.3354,168.5941,10.0000,0.0000
143.4134,35.0000,16.0622,0.0000
21.3397,191.8416,18.6123,0.0000
237.3894,215.0000,47.4887,0.0000
194.5111,187.0671,10.0000,0.0000
153.5726,205.0000,43.4942,0.0000
77.6673,178.3449,21.5201,0.0000
23.9024,15.6626,13.0000,0.0000
133.7453,90.8056,20.0000,0.0000
127.7666,14.5603,10.0000,0.0000
260.0000,65.8180,10.2041,0.0000
0.0000,137.1010,4.5830,0.0000
132.2591,215.0000,16.4025,0.0000
70.5695,0.0000,6.8896,0.0000
211.0302,215.0000,46.8047,0.0000
13.9011,22.8218,10.0000,0.0000
32.3264,234.1078,48.0402,0.0000
95.1030,42.3925,10.0000,0.0000
124.5801,212.4441,60.0000,0.0000
28.4976,280.0000,19.4162,0.0000
67.9994,1.0072,13.0000,0.0000
21.6013,118.6967,13.0000,0.0000
260.0000,226.3977,44.5793,0.0000
23.8357,224.6703,54.9902,0.0000
21.0560,152.7992,17.4920,0.0000
68.1205,221.0056,60.0000,0.0000
23.1411,48.8907,13.0000,0.0000
105.0175,280.0000,7.6325,0.0000
55.8801,249.0214,39.3640,0.0000
270.6756,41.2540,10.0000,0.0000
66.0550,235.3187,36.3229,1.0000
192.4268,250.3652,10.0000,0.0000
45.8996,162.8521,39.6267,0.0000
21.5508,149.2080,19.4462,0.0000
159.4167,198.9657,10.0000,0.0000
77.7360,156.5785,21.2688,0.0000
250.0000,163.8979,32.4047,0.0000
230.1074,215.0000,45.0496,0.0000
176.5551,215.0000,40.8409,0.0000
122.8165,179.9467,10.0000,0.0000
240.7397,0.0000,6.8062,0.0000
260.0000,199.3857,54.8752,0.0000
3.8104,131.6693,10.0000,0.0000
253.9070,280.0000,3.9391,0.0000
110.5215,188.9545,10.0000,0.0000
95.7627,56.5941,10.0000,0.0000
154.8561,205.0000,22.5574,0.0000
42.8960,99.9051,13.0000,0.0000
97.4044,172.0297,10.0000,0.0000
22.2000,0.0000,3.8832,0.0000
201.7610,215.0000,26.3666,0.0000
162.8338,205.0000,32.0537,0.0000
240.1973,215.0000,46.3676,0.0000
280.0000,32.3828,3.9620,0.0000
0.0000,235.4133,2.6040,0.0000
120.0000,46.4541,14.0308,0.0000
75.0249,97.1414,13.0000,0.0000
95.5934,198.7417,10.0000,0.0000
17.7042,81.5562,10.0000,1.0000
160.9960,209.2965,10.0000,0.0000
53.8391,140.8491,39.6720,0.0000
271.1736,33.2666,10.0000,0.0000
